,ivt,ivtdir,trackID
38,83.59987036518345,258.39099410442924 degree,9350.0
39,211.51648766405225,205.52775331060346 degree,9515.0
40,213.94311593010076,221.47436422565912 degree,9605.0
41,98.5617495453735,259.4046144806482 degree,9605.0
42,165.1375764010083,237.69827235619803 degree,9621.0
43,167.87678074493616,218.07016775788261 degree,9621.0
44,299.34217938650016,261.27232533375695 degree,9680.0
45,65.06165197961865,232.54811695620072 degree,9680.0
46,215.8399214173784,218.292266722612 degree,9719.0
47,98.25543062657208,141.7178851445197 degree,9758.0
48,329.68896275490073,247.88344745377782 degree,9758.0
49,41.24745477594808,214.77848755494733 degree,9804.0
50,129.58632952486977,265.37094377693404 degree,9810.0
51,42.491810337544564,238.4255893041386 degree,9810.0
52,327.00799296037474,236.5474373095512 degree,12271.0
53,174.55118305602576,205.1600084037811 degree,12302.0
54,112.03563420152989,248.7918804260387 degree,12590.0
55,74.3161002527589,213.1936398633755 degree,12616.0
56,102.4619301440644,211.97219255957168 degree,12631.0
57,171.24033932316613,210.4777227292338 degree,12631.0
58,365.582713368715,163.8257333202032 degree,12649.0
59,32.963274567055066,284.84728284826497 degree,12779.0
60,238.8557819051704,221.72011130340255 degree,12918.0
61,186.1136687602412,224.72221715821794 degree,12918.0
62,83.83190879683504,221.41205899732773 degree,15502.0
63,202.31182510364476,270.39437186130897 degree,18574.0
64,52.8802128832581,255.19774179529009 degree,18606.0
65,350.16417096694164,239.5670666459662 degree,18606.0
66,221.88752233696144,230.84954081395367 degree,18713.0
67,77.58027907858934,201.20711272514885 degree,18713.0
68,115.34365596100395,277.4899234706837 degree,18868.0
69,166.91986149375586,246.70495012519734 degree,18875.0
70,66.81440596013073,249.40506852795863 degree,18875.0
71,47.24805191599104,239.89802300014824 degree,18924.0
72,157.7363155626572,194.54396827115184 degree,21526.0
73,82.54691160790648,234.17280212448662 degree,21526.0
74,81.3231144812002,155.96386782033696 degree,21689.0
75,143.94688104297987,265.21461271285483 degree,21687.0
76,143.94688104297987,265.21461271285483 degree,21695.0
77,66.80509698760018,129.94247224507043 degree,21857.0
78,87.63891918026096,230.90334025867193 degree,21932.0
79,102.09545974917904,252.35361319030525 degree,22075.0
80,218.2540076522762,220.10195578922287 degree,22083.0
81,214.61258135433914,259.87597771829326 degree,24571.0
82,260.1397234771402,253.99095749938368 degree,24571.0
83,186.55675353316482,171.10584121416704 degree,24668.0
84,187.8098034237918,291.81494410691715 degree,24738.0
85,191.49576447199982,216.86360835581394 degree,24738.0
86,64.77573499975068,267.95052326307604 degree,25043.0
