time,kidmap
1990-12-29,37230.0
1990-12-30,37230.0
1991-01-01,37278.0
1991-01-02,37284.0
1991-01-03,37284.0
1991-01-06,37326.0
1991-01-09,37350.0
1991-01-10,37354.0
1991-01-15,37381.0
1991-01-19,37417.0
1991-01-20,37417.0
1991-01-21,37417.0
1991-01-23,37455.0
1991-01-24,37457.0
1991-01-25,37457.0
1991-01-26,37457.0
1991-01-27,37457.0
1991-01-28,37457.0
1991-02-07,37594.0
1991-02-08,37594.0
1991-02-09,37594.0
1991-02-10,37594.0
1991-02-11,37594.0
1991-02-17,37672.0
1991-02-18,37672.0
1991-02-25,37740.0
1991-02-26,37742.0
1991-02-27,37742.0
1991-02-28,37758.0
1991-03-01,37758.0
1991-03-02,37758.0
1991-03-03,37784.0
1991-03-04,37786.0
1991-03-05,37794.0
1991-03-06,37791.0
1991-03-07,37791.0
1991-03-08,37791.0
1991-03-15,37873.0
1991-03-16,37873.0
1991-03-17,37873.0
1991-03-18,37873.0
1991-03-22,37935.0
1991-03-23,37941.0
1991-03-24,37943.0
1991-03-25,37943.0
1991-03-26,37963.0
1991-03-27,37973.0
1991-03-28,37981.0
1991-03-31,38004.0
1991-04-01,38004.0
1991-04-02,38016.0
1991-04-05,38014.0
1991-04-07,38050.0
1991-04-09,38066.0
1991-04-11,38077.0
1991-04-13,38102.0
1991-04-14,38108.0
1991-04-16,38125.0
1991-04-29,38231.0
1991-04-30,38231.0
1991-05-01,38215.0
1991-05-02,38251.0
1991-05-03,38251.0
1991-05-04,38251.0
1991-05-05,38266.0
1991-05-06,38275.0
1991-05-08,38290.0
1991-05-10,38308.0
1991-05-11,38286.0
1991-05-12,38327.0
1991-05-15,38347.0
1991-05-16,38356.0
1991-05-19,38381.0
1991-05-20,38386.0
1991-05-22,38399.0
1991-05-23,38399.0
1991-05-24,38399.0
1991-05-26,38436.0
1991-05-27,38442.0
1991-05-29,38459.0
1991-05-30,38464.0
1991-05-31,38464.0
1991-12-02,40172.0
1991-12-03,40212.0
1991-12-04,40212.0
1991-12-05,40223.0
1991-12-06,40223.0
1991-12-09,40246.0
