,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
86,25043.0,1.0,1987-01-28 00:00:00,1987-01-28 12:00:00,12.0,,,,64.77573499975068,267.95052326307604 degree,465.49844,3.689453125
87,25043.0,3.0,1987-01-27 18:00:00,1987-01-28 00:00:00,6.0,,,,101.63055283081238,200.5056188596239 degree,-520.3419,7.416015625
88,25053.0,1.0,1987-01-28 12:00:00,1987-01-28 18:00:00,6.0,,,,64.77573499975068,267.95052326307604 degree,458.32245,3.57421875
89,25132.0,1.0,1987-02-11 00:00:00,1987-02-12 06:00:00,30.0,,,,156.68616522584887,245.20218074771805 degree,634.07416,22.148193359375
90,25132.0,2.0,1987-02-10 00:00:00,1987-02-11 00:00:00,24.0,,,,214.4690243459522,231.91669796076897 degree,396.52307,13.361572265625
91,27845.0,1.0,1987-12-30 00:00:00,1988-01-01 18:00:00,66.0,,,,270.66916509361863,219.91794602291807 degree,372.84436,78.201416015625
92,27845.0,2.0,1987-12-28 00:00:00,1987-12-30 00:00:00,48.0,,,,277.385131197328,243.07949822194408 degree,251.56772,63.087646484375
93,27886.0,1.0,1988-01-02 18:00:00,1988-01-03 00:00:00,6.0,,,,166.81436136831897,234.83272120928245 degree,238.74908,14.5009765625
94,27905.0,1.0,1988-01-08 00:00:00,1988-01-08 12:00:00,12.0,,,,195.8267275668669,272.6804023939941 degree,127.521454,6.628173828125
95,27905.0,2.0,1988-01-07 12:00:00,1988-01-08 00:00:00,12.0,,,,213.60822612450616,242.90596375275283 degree,5.5103226,14.1646728515625
96,28022.0,1.0,1988-01-19 12:00:00,1988-01-21 00:00:00,36.0,,,,237.83982853102276,185.52694758758872 degree,155.26042,63.965576171875
97,28022.0,3.0,1988-01-21 00:00:00,1988-01-21 18:00:00,18.0,,,,48.16423284420239,286.6299798579193 degree,140.09557,
98,28081.0,1.0,1988-01-26 18:00:00,1988-01-27 00:00:00,6.0,,,,63.021080494467085,258.57456735818846 degree,-331.23874,
99,28230.0,1.0,1988-02-18 00:00:00,1988-02-20 00:00:00,48.0,,,,158.00416189835116,250.7968360283214 degree,294.25513,39.383056640625
100,28230.0,2.0,1988-02-17 18:00:00,1988-02-18 00:00:00,6.0,,,,213.01461974348123,214.30216154683535 degree,247.9066,4.5570068359375
101,28310.0,1.0,1988-02-25 00:00:00,1988-02-25 12:00:00,12.0,,,,79.18175997843593,317.5232236355904 degree,138.49301,4.67852783203125
102,28310.0,2.0,1988-02-24 18:00:00,1988-02-25 00:00:00,6.0,,,,82.73240527105291,280.4945201177652 degree,-49.324074,1.21240234375
103,28297.0,1.0,1988-02-25 12:00:00,1988-02-26 06:00:00,18.0,,,,186.6019653293189,268.1996057082736 degree,254.93495,3.0595703125
104,30769.0,1.0,1988-12-01 06:00:00,1988-12-02 06:00:00,24.0,,,,118.1625756062114,236.43876603450005 degree,807.8518,4.7752685546875
105,30776.0,1.0,1988-12-02 06:00:00,1988-12-02 12:00:00,6.0,,,,118.1625756062114,236.43876603450005 degree,846.11816,3.68988037109375
106,30913.0,1.0,1988-12-29 00:00:00,1988-12-29 18:00:00,18.0,,,,197.33246812083436,234.93356260334482 degree,490.59766,32.0576171875
107,30913.0,2.0,1988-12-26 06:00:00,1988-12-29 00:00:00,66.0,,,,252.0636968213179,218.1029694444529 degree,198.38191,59.14453125
108,30913.0,3.0,1988-12-23 06:00:00,1988-12-23 18:00:00,12.0,,,,77.57117719712144,245.07597226353076 degree,243.86276,
109,31016.0,1.0,1989-01-04 00:00:00,1989-01-06 12:00:00,60.0,,,,331.37056628139146,167.71987004551556 degree,-769.9464,176.23291015625
110,31016.0,2.0,1989-01-03 06:00:00,1989-01-04 00:00:00,18.0,,,,176.6730726463141,223.13391922486886 degree,-319.85855,24.02734375
111,31202.0,1.0,1989-01-29 18:00:00,1989-01-30 06:00:00,12.0,,,,151.6988498946081,248.0119823359315 degree,131.49908,9.4615478515625
112,31225.0,1.0,1989-02-03 00:00:00,1989-02-03 18:00:00,18.0,,,,278.48892110122756,245.98946571411565 degree,-160.03862,39.056396484375
113,31225.0,2.0,1989-02-01 12:00:00,1989-02-03 00:00:00,36.0,,,,145.15132502408824,215.20764617599676 degree,-486.49976,19.8623046875
114,31322.0,1.0,1989-02-12 06:00:00,1989-02-12 12:00:00,6.0,,,,134.43643539607245,234.71808761995047 degree,-438.67084,2.5546875
115,31344.0,1.0,1989-02-14 18:00:00,1989-02-15 00:00:00,6.0,,,,147.94742432660541,262.6636922599746 degree,-872.11957,15.923095703125
116,31344.0,3.0,1989-02-15 00:00:00,1989-02-15 18:00:00,18.0,,,,248.65214599051606,258.2548724209533 degree,-719.29956,19.447265625
117,31359.0,1.0,1989-02-23 00:00:00,1989-02-24 06:00:00,30.0,,,,265.0101552956917,242.68810045021124 degree,-131.22571,23.98681640625
118,31359.0,2.0,1989-02-19 06:00:00,1989-02-23 00:00:00,90.0,,,,141.36449165680833,252.43039928154656 degree,-601.1939,13.852783203125
119,33946.0,1.0,1989-12-07 00:00:00,1989-12-08 12:00:00,36.0,,,,216.25859422149088,226.36091512577136 degree,398.14893,38.436279296875
120,33946.0,2.0,1989-12-03 12:00:00,1989-12-07 00:00:00,84.0,,,,330.33653415380024,242.12685819719727 degree,352.9849,83.127685546875
121,34037.0,1.0,1989-12-16 00:00:00,1989-12-16 18:00:00,18.0,,,,187.2497854902132,253.24571233194527 degree,308.67468,14.60394287109375
122,34037.0,2.0,1989-12-15 00:00:00,1989-12-16 00:00:00,24.0,,,,170.4044710540731,227.19094848744706 degree,270.28696,17.0096435546875
123,34051.0,1.0,1989-12-17 06:00:00,1989-12-18 00:00:00,18.0,,,,194.72204868133952,225.03696365495136 degree,281.78366,11.628662109375
124,34284.0,1.0,1990-01-16 00:00:00,1990-01-20 00:00:00,96.0,,,,332.3869399535394,242.88597477590787 degree,150.77567,81.498291015625
125,34284.0,2.0,1990-01-15 06:00:00,1990-01-16 00:00:00,18.0,,,,121.20469090297433,223.06569030193836 degree,-369.38644,8.5985107421875
126,34336.0,1.0,1990-01-20 06:00:00,1990-01-20 12:00:00,6.0,,,,229.13295169576529,255.76109057198116 degree,509.72607,7.07421875
127,34340.0,1.0,1990-01-20 18:00:00,1990-01-21 00:00:00,6.0,,,,164.95827616259504,254.31668116885464 degree,526.87744,5.8271484375
128,34384.0,1.0,1990-01-25 06:00:00,1990-01-26 00:00:00,18.0,,,,129.8003632904299,246.44706866728475 degree,516.2787,27.630126953125
