,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,prec,ivt,ivtdir,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
559,1994-02-01,46762.0,2.0,1994-02-01 12:00:00,1994-02-02 00:00:00,12.0,,,,1.2216796875,80.0340130988494,250.30116294263266 degree,-351.6796569766329,,,607.1305735890545,-224.91785890270756,,-1,1,-1
560,1994-02-02,46785.0,2.0,1994-02-02 06:00:00,1994-02-02 12:00:00,6.0,,,,12.348876953125,252.72768093781474,241.4159779447129 degree,-259.37868187559263,,-282.82105993625055,,-750.5643033445289,,-1,-1,-1
561,1994-12-01,49338.0,2.0,1994-12-01 00:00:00,1994-12-02 06:00:00,30.0,,,,26.94573974609375,337.2216866520394,243.82305849264904 degree,,535.2118854561292,,473.1236605719369,-852.6694223979628,,1,1,-1
562,1994-12-18,49487.0,2.0,1994-12-18 18:00:00,1994-12-19 18:00:00,24.0,,,,5.7467041015625,120.40270118826545,241.7392728535553 degree,,,,,-477.5434132240826,,0,0,-1
563,1995-01-18,49722.0,2.0,1995-01-18 00:00:00,1995-01-18 18:00:00,18.0,,,,14.4903564453125,209.889430792789,260.1566759370934 degree,-281.81967237095256,,-355.60660215345746,,-470.06662561892836,,-1,-1,-1
564,1995-01-17,49722.0,3.0,1995-01-17 06:00:00,1995-01-18 00:00:00,18.0,,,,20.644775390625,398.46781701175587,240.32479375933428 degree,-519.4097803097895,,-198.8278904548705,,-155.9539081358464,297.53605380534293,-1,-1,-1
565,1995-01-18,49691.0,2.0,1995-01-18 00:00:00,1995-01-18 12:00:00,12.0,,,,14.4903564453125,209.889430792789,260.1566759370934 degree,-281.81967237095256,,-355.60660215345746,,-470.06662561892836,,-1,-1,-1
566,1995-01-17,49691.0,3.0,1995-01-17 12:00:00,1995-01-17 18:00:00,6.0,,,,12.7740478515625,398.46781701175587,240.32479375933428 degree,-519.4097803097895,,-198.8278904548705,,-155.9539081358464,297.53605380534293,-1,-1,-1
567,1995-12-12,52526.0,2.0,1995-12-12 06:00:00,1995-12-12 18:00:00,12.0,,,,3.2943115234375,86.1662670510353,233.85575687913624 degree,-436.3329550797103,,-607.7116796997483,,-204.19119427965066,146.36642079445414,-1,-1,-1
568,1996-01-07,52722.0,2.0,1996-01-07 12:00:00,1996-01-08 00:00:00,12.0,,,,10.46282958984375,175.83180745690657,232.5758539584379 degree,-181.53329294729394,290.7746983991163,-122.52802481664366,566.2442541714759,-591.5996970201168,,1,1,-1
569,1996-01-22,52870.0,2.0,1996-01-22 06:00:00,1996-01-22 12:00:00,6.0,,,,,23.01690001422277,237.40824514488548 degree,-784.6516835987671,,-923.4625724102065,,-472.4943863028613,,-1,-1,-1
570,1996-02-02,52957.0,2.0,1996-02-02 18:00:00,1996-02-04 00:00:00,30.0,,,,23.318115234375,192.39286885150713,233.28593035298726 degree,-187.52355032065756,343.3552311956348,-170.7644295123797,648.3407784028062,-175.32418319642673,,-1,1,-1
571,1996-02-11,53023.0,2.0,1996-02-11 00:00:00,1996-02-12 00:00:00,24.0,,,,36.84381103515625,272.4221383157045,251.96050998465316 degree,-205.348651322554,508.54599427837695,-208.27295348883604,789.0080340551123,-404.08339142714135,407.208200341465,-1,1,-1
572,1996-02-10,53023.0,3.0,1996-02-10 12:00:00,1996-02-11 00:00:00,12.0,,,,1.70947265625,170.15107833171123,246.3019498960989 degree,-350.56833273827584,,-157.93524020756078,663.652799035167,-210.40718163255224,,-1,1,-1
573,1996-02-27,53174.0,2.0,1996-02-27 12:00:00,1996-02-27 18:00:00,6.0,,,,3.834228515625,93.06277018574352,238.11052477328795 degree,-414.3609888063843,,-1348.6679601655192,,-225.89096055331103,,-1,-1,-1
574,1997-01-21,55962.0,2.0,1997-01-21 18:00:00,1997-01-22 00:00:00,6.0,,,,,9.532380041840732,248.269880405143 degree,-782.8214478206775,,-648.2724117939134,,-816.3183633894023,,-1,-1,-1
575,1998-01-03,58918.0,2.0,1998-01-03 00:00:00,1998-01-03 18:00:00,18.0,,,,15.7490234375,181.88815412495612,215.03268078626002 degree,-101.52868014127284,410.69553274607085,-191.80220648523482,461.3866591548428,,200.83183772541292,1,1,1
576,1998-01-12,58990.0,2.0,1998-01-12 06:00:00,1998-01-12 12:00:00,6.0,,,,,26.125404138584166,247.8394846445731 degree,-405.6375576692498,,-423.2411259245784,,-442.0290836142509,,-1,-1,-1
577,1998-01-15,58990.0,3.0,1998-01-15 18:00:00,1998-01-16 06:00:00,12.0,,,,9.15478515625,266.88393321707036,273.82264533260206 degree,-743.9434741722184,,-1031.9346146381765,,-640.3727274539849,412.0248557687775,-1,-1,-1
578,1998-01-25,59079.0,2.0,1998-01-25 12:00:00,1998-01-27 00:00:00,36.0,,,,20.9058837890625,149.59020850812053,242.99418633120882 degree,-271.3567461207646,,-350.50329273906635,,-182.87700825150816,,-1,-1,-1
579,1998-01-27,59079.0,3.0,1998-01-27 00:00:00,1998-01-27 06:00:00,6.0,,,,1.91644287109375,284.30440042616857,260.6516735770866 degree,-221.9319685115763,,-299.2409968658708,,-173.24332180215768,,-1,-1,-1
580,1998-02-08,59099.0,2.0,1998-02-08 00:00:00,1998-02-11 00:00:00,72.0,,,,110.9208984375,341.3010246960769,244.07270468081506 degree,-179.0644280530082,,-198.66585709023434,651.5177756287283,-713.3338836516975,,-1,1,-1
581,1998-02-27,59341.0,2.0,1998-02-27 12:00:00,1998-02-28 18:00:00,30.0,,,,10.7554931640625,168.63678753033992,230.4708499562825 degree,-487.06241811494124,,-430.080336365304,,-219.93669859530306,550.9961119283188,-1,-1,-1
582,1998-12-24,61970.0,2.0,1998-12-24 18:00:00,1998-12-25 12:00:00,18.0,,,,17.0662841796875,186.6655977017208,248.00635231521224 degree,,498.72196785591314,,666.07141969455,-144.38070519268584,,1,1,-1
583,1999-02-27,62469.0,2.0,1999-02-27 12:00:00,1999-03-01 00:00:00,36.0,,,,8.9708251953125,132.70662557877966,214.7846857199243 degree,-235.85375403039106,,-259.1844986563123,,-154.21353774383928,359.1275134724022,-1,-1,1
584,1999-12-10,65040.0,2.0,1999-12-10 12:00:00,1999-12-10 18:00:00,6.0,,,,,72.55948048547654,251.49858746340863 degree,-147.49365414745716,,-244.99190285512077,,-464.85612248919045,,-1,-1,-1
